particle_id,frame_num,particle_num,time_stamp_s,ecd_um,area_pixels,perimeter,circularity,intensity_mean,intensity_std,intensity_min,intensity_max,max_feret_diam_um,aspect_ratio,x_left,x_right,y_top,y_bottom,edge_particle,experiment,step,type
345247,74,63,7.971,13.125,172,87.43,0.53,725.73,110.05,362,831,35.375,0.21,336,368,913,925,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
345451,78,25,8.408,26.625,477,100.36,0.77,445.52,224.97,88,869,41.875,0.39,62,79,559,596,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
345462,78,36,8.408,12.125,154,75.46,0.58,677.27,118.89,403,830,34.375,0.19,28,58,763,773,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
345529,79,48,8.517,16.625,233,104.57,0.52,667.14,166.8,180,831,43.375,0.27,273,310,848,861,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
345535,79,54,8.517,13.875,181,66.97,0.71,596.39,202.42,158,831,23.875,0.38,1048,1071,887,896,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
345570,80,23,8.626,22.875,375,116.74,0.59,672.23,149.84,210,831,40.375,0.48,1188,1221,513,534,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
345756,83,19,8.954,21.625,343,153.92,0.43,762.93,59.73,538,892,47.125,0.46,1065,1087,374,415,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
345817,84,22,9.063,11.375,141,63.77,0.66,663.74,137.57,371,830,25.625,0.27,941,953,576,599,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
345934,86,18,9.281,10.875,134,61.7,0.67,686.6,139.59,353,831,20.625,0.55,1071,1082,388,409,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
345939,86,23,9.281,17.375,249,110.6,0.51,703.27,79.93,499,829,51.625,0.15,214,258,583,593,FALSE,MTB_20191021_Fiber,11 Fiber_5200-3196_191021-102741,fiber
