particle_id,frame_num,particle_num,time_stamp_s,ecd_um,area_pixels,perimeter,circularity,intensity_mean,intensity_std,intensity_min,intensity_max,max_feret_diam_um,aspect_ratio,x_left,x_right,y_top,y_bottom,edge_particle,experiment,step,type
15920,1478,2,161.285,28.625,536,88.43,0.93,220.17,268.27,0,799,27.625,0.98,196,222,373,398,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15925,1480,1,161.503,31.625,639,96.25,0.93,196.61,257.91,0,798,30.875,0.99,509,537,228,255,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15926,1480,2,161.503,19.375,290,64.28,0.94,286.71,273.98,7,794,18.125,0.98,263,281,332,350,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15927,1481,1,161.612,32.125,655,97.25,0.93,203.68,266.43,0,798,31.625,0.98,277,305,763,791,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15933,1486,1,162.158,35.875,787,106.08,0.94,178.11,252.3,0,799,34.875,0.99,807,838,454,484,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15934,1486,2,162.158,25.625,453,86.43,0.87,257.42,281.8,0,799,26.875,0.96,225,249,710,733,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15942,1492,1,162.814,10.875,134,43.8,0.94,394.23,267.29,42,799,10.625,0.98,460,472,475,487,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15944,1493,2,162.923,26.375,472,84.6,0.91,266.53,278.8,2,799,25.875,0.96,1161,1186,464,487,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15946,1494,2,163.032,40.875,983,166.02,0.67,259.72,299.83,0,809,44.125,0.86,1240,1278,760,792,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15950,1496,2,163.25,19.375,291,65.11,0.93,309.9,282.75,1,797,18.625,0.96,889,908,677,695,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15967,1506,1,164.342,15.625,215,59.04,0.88,396.83,275.64,53,799,17.875,0.89,60,75,42,58,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15969,1506,3,164.342,34.375,732,102.91,0.93,184.49,258.64,0,799,33.625,0.99,376,406,375,405,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15978,1508,2,164.561,19.375,294,65.46,0.93,273.77,271.47,0,799,18.625,0.98,710,728,482,500,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15986,1511,1,164.888,30.625,605,93.84,0.93,213.62,267.95,0,799,29.875,0.98,981,1008,617,644,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15990,1517,1,165.544,28.375,533,87.6,0.93,234.32,277.52,0,798,27.125,0.98,173,198,403,428,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15998,1521,1,165.98,25.625,453,81.36,0.93,237.89,271.16,0,799,24.875,0.98,216,239,388,411,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
15999,1521,2,165.98,17.125,246,60.28,0.92,327.24,279.6,21,799,16.375,0.98,172,189,395,412,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16001,1521,4,165.98,35.375,771,113.47,0.87,207.3,271.8,0,798,35.875,0.96,72,104,558,588,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16003,1522,1,166.09,17.625,253,60.63,0.93,340.01,277.21,21,799,17.125,0.96,887,904,389,405,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16007,1523,3,166.199,27.125,496,84.18,0.94,220.69,266.22,0,799,25.875,0.99,762,786,381,405,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16016,1525,3,166.417,18.875,283,68.77,0.87,313.27,278.81,7,799,19.875,0.94,1000,1019,295,314,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16017,1525,4,166.417,22.875,380,74.53,0.93,274.39,281.11,0,799,23.125,0.96,806,827,959,980,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16020,1528,1,166.745,37.125,834,110.15,0.93,172.78,249.42,0,798,36.125,0.98,850,882,534,566,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16023,1529,2,166.854,17.625,253,61.46,0.92,356.55,279.73,19,798,17.125,0.91,1156,1174,691,707,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16034,1536,1,167.618,26.875,489,86.43,0.91,218.35,266.57,0,799,25.875,0.99,547,571,403,427,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16035,1536,2,167.618,41.375,1002,123.88,0.91,177.54,255.95,0,799,40.875,0.98,110,145,802,837,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16036,1536,3,167.618,29.875,577,94.08,0.91,229.6,275.95,0,799,29.875,0.96,520,546,930,957,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16038,1538,1,167.837,21.875,352,71.11,0.94,261.9,272.07,0,799,20.875,0.99,659,679,600,620,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16039,1539,1,167.946,20.875,326,82.08,0.78,384.79,296.78,29,801,24.625,0.79,94,115,935,954,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16041,1540,2,168.055,29.625,572,91.01,0.93,220.39,272.07,0,797,28.875,0.98,832,858,801,827,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16042,1541,1,168.164,18.875,281,64.94,0.92,295.8,276.09,11,797,18.125,0.98,470,488,172,191,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16047,1543,1,168.383,21.125,331,69.11,0.93,264.58,272.12,0,799,20.375,0.97,533,552,314,334,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16050,1545,1,168.601,22.875,379,74.53,0.93,310.3,284.41,14,797,22.625,0.92,1206,1228,658,678,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16052,1547,2,168.819,18.375,268,63.53,0.91,288.62,277.55,7,799,17.375,0.99,578,596,518,536,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16056,1549,2,169.038,37.125,828,108.91,0.94,210.81,270.35,0,798,36.375,0.96,1181,1213,438,469,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16060,1551,2,169.256,22.125,360,73.53,0.91,323.39,282.67,23,799,23.125,0.9,1077,1098,976,996,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16062,1552,2,169.365,21.875,355,71.11,0.94,270.55,273.83,8,798,21.125,0.98,806,826,196,216,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16064,1552,4,169.365,21.375,340,70.53,0.93,260.13,271.47,0,799,20.625,0.98,445,465,319,339,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16068,1553,1,169.475,21.625,343,74.6,0.88,319.78,284.31,17,799,22.625,0.91,1147,1168,224,243,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
16069,1553,2,169.475,28.875,549,89.6,0.93,220.17,271.44,0,799,28.125,1,828,853,660,686,FALSE,MTB_20190208_PICTS_190208-0002,16 Glycerol Filtered_5200-3196_190211-112040,air bubble
